,Year,Tm,Player,Age,Games,MP,PER ,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
0,2011,GSW,Monta Ellis,25,80,3227,18.6,0.536,0.235,0.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3
1,2011,POR,LaMarcus Aldridge,25,81,3211,21.5,0.5489999999999999,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7
2,2011,CHI,Luol Deng,25,82,3208,15.5,0.5489999999999999,0.28800000000000003,0.29100000000000004,4.4,12.8,8.7,11.9,1.3,1.1,10.7
3,2011,GSW,Dorell Wright,25,82,3147,15.0,0.539,0.45,0.19899999999999998,3.1,12.6,7.8,11.6,2.0,1.5,9.6
4,2011,LAC,Blake Griffin,21,82,3112,21.9,0.5489999999999999,0.017,0.505,10.2,26.9,18.6,18.7,1.0,1.1,11.7
5,2011,MIA,LeBron James,26,79,3063,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8
6,2011,OKC,Kevin Durant,22,78,3038,23.6,0.589,0.26899999999999996,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6
7,2011,LAL,Pau Gasol,30,82,3037,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8
8,2011,CHI,Derrick Rose,22,81,3026,23.5,0.55,0.24100000000000002,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1
9,2011,UTA,Al Jefferson,26,82,2940,20.1,0.528,0.0,0.21899999999999997,9.6,23.2,16.3,9.2,0.8,4.2,6.8
10,2011,ORL,Dwight Howard,25,78,2935,26.1,0.616,0.006999999999999999,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2
11,2011,PHI,Jrue Holiday,20,82,2901,15.4,0.525,0.222,0.209,2.7,10.5,6.6,29.0,2.2,0.8,16.7
12,2011,BOS,Ray Allen,35,80,2890,16.4,0.615,0.387,0.22399999999999998,2.3,9.0,5.8,12.7,1.4,0.4,9.8
13,2011,NJN,Brook Lopez,22,82,2889,19.3,0.5489999999999999,0.001,0.374,7.8,12.3,10.0,8.8,0.9,3.2,10.4
14,2011,NOH,Chris Paul,25,80,2880,23.7,0.578,0.19699999999999998,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9
15,2011,MEM,Mike Conley,23,81,2872,15.9,0.521,0.228,0.259,1.3,9.0,5.1,28.0,2.6,0.5,14.2
16,2011,NYK,Amar'e Stoudemire,28,78,2870,22.7,0.565,0.016,0.40299999999999997,7.8,17.6,12.7,13.2,1.2,3.8,12.5
17,2011,TOR,DeMar DeRozan,21,82,2851,14.5,0.53,0.045,0.348,3.0,10.2,6.5,8.6,1.5,0.8,9.8
18,2011,OKC,Russell Westbrook,22,82,2847,23.6,0.5379999999999999,0.07400000000000001,0.45399999999999996,5.2,10.3,7.8,42.7,2.8,0.8,15.9
19,2011,MIA,Dwyane Wade,29,76,2823,25.6,0.581,0.149,0.47100000000000003,5.5,14.4,10.2,23.5,2.1,2.4,12.4
20,2011,PHI,Elton Brand,31,81,2809,18.5,0.5529999999999999,0.001,0.278,9.7,18.0,13.9,7.1,1.7,2.9,8.4
21,2011,MIA,Chris Bosh,26,77,2795,19.4,0.569,0.024,0.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8
22,2011,LAL,Kobe Bryant,32,82,2779,23.9,0.5479999999999999,0.217,0.35600000000000004,3.5,13.3,8.5,26.7,1.9,0.3,11.4
23,2011,CHA,Boris Diaw,28,82,2778,13.9,0.5579999999999999,0.292,0.159,4.5,13.6,9.0,20.6,1.4,1.3,16.7
24,2011,BOS,Paul Pierce,33,80,2774,19.7,0.62,0.29100000000000004,0.44,1.6,16.6,9.5,16.1,1.5,1.4,12.3
25,2011,IND,Danny Granger,27,79,2763,17.8,0.5539999999999999,0.32299999999999995,0.37,3.5,13.5,8.5,13.0,1.6,1.6,12.3
26,2011,POR,Wesley Matthews,24,82,2758,15.5,0.5820000000000001,0.386,0.322,2.0,9.7,5.7,10.2,2.0,0.3,11.0
27,2011,CHA,D.J. Augustin,23,82,2757,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5
